25_year_interval,county,TMAX,TMIN
1975-1999,Alleghany County,58.0,233.0
1975-1999,Amelia County,298.0,141.0
1975-1999,Amherst County,153.0,179.0
1975-1999,Appomattox County,221.0,171.0
1975-1999,Arlington County,235.0,167.0
1975-1999,Augusta County,74.0,235.0
1975-1999,Bath County,47.0,223.0
1975-1999,Bedford County,190.0,172.0
1975-1999,Bland County,12.0,226.0
1975-1999,Botetourt County,145.0,182.0
1975-1999,Bristol city,73.0,181.0
1975-1999,Brunswick County,279.0,114.0
1975-1999,Buchanan County,40.0,218.0
1975-1999,Buckingham County,251.0,172.0
1975-1999,Buena Vista city,197.0,199.0
1975-1999,Campbell County,179.0,153.0
1975-1999,Caroline County,302.0,160.0
1975-1999,Carroll County,15.0,214.0
1975-1999,Charles City County,302.0,76.0
1975-1999,Charlotte County,219.0,138.0
1975-1999,Charlottesville city,256.0,182.0
1975-1999,Chesapeake city,235.0,50.0
1975-1999,Chesterfield County,328.0,120.0
1975-1999,Clarke County,187.0,211.0
1975-1999,Colonial Heights city,302.0,91.0
1975-1999,Covington city,158.0,216.0
1975-1999,Craig County,45.0,226.0
1975-1999,Culpeper County,270.0,212.0
1975-1999,Cumberland County,309.0,165.0
1975-1999,Danville city,290.0,108.0
1975-1999,Dickenson County,29.0,218.0
1975-1999,Dinwiddie County,294.0,113.0
1975-1999,Emporia city,318.0,96.0
1975-1999,Essex County,309.0,143.0
1975-1999,Fairfax County,224.0,172.0
1975-1999,Fairfax city,217.0,180.0
1975-1999,Falls Church city,204.0,166.0
1975-1999,Fauquier County,214.0,199.0
1975-1999,Floyd County,10.0,215.0
1975-1999,Fluvanna County,305.0,191.0
1975-1999,Franklin County,186.0,161.0
1975-1999,Franklin city,313.0,74.0
1975-1999,Frederick County,178.0,228.0
1975-1999,Fredericksburg city,278.0,192.0
1975-1999,Galax city,17.0,206.0
1975-1999,Giles County,19.0,239.0
1975-1999,Gloucester County,291.0,64.0
1975-1999,Goochland County,315.0,163.0
1975-1999,Grayson County,4.0,251.0
1975-1999,Greene County,145.0,215.0
1975-1999,Greensville County,329.0,96.0
1975-1999,Halifax County,241.0,131.0
1975-1999,Hampton city,264.0,41.0
1975-1999,Hanover County,311.0,155.0
1975-1999,Harrisonburg city,151.0,235.0
1975-1999,Henrico County,319.0,122.0
1975-1999,Henry County,244.0,155.0
1975-1999,Highland County,5.0,259.0
1975-1999,Hopewell city,307.0,79.0
1975-1999,Isle of Wight County,302.0,58.0
1975-1999,James City County,290.0,65.0
1975-1999,King George County,306.0,144.0
1975-1999,King William County,319.0,128.0
1975-1999,King and Queen County,324.0,131.0
1975-1999,Lancaster County,238.0,96.0
1975-1999,Lee County,54.0,184.0
1975-1999,Loudoun County,202.0,212.0
1975-1999,Louisa County,297.0,194.0
1975-1999,Lunenburg County,258.0,133.0
1975-1999,Lynchburg city,217.0,169.0
1975-1999,Madison County,158.0,207.0
1975-1999,Manassas Park city,253.0,173.0
1975-1999,Manassas city,269.0,173.0
1975-1999,Martinsville city,249.0,150.0
1975-1999,Mathews County,237.0,58.0
1975-1999,Mecklenburg County,271.0,124.0
1975-1999,Middlesex County,276.0,86.0
1975-1999,Montgomery County,49.0,215.0
1975-1999,Nelson County,150.0,198.0
1975-1999,New Kent County,335.0,114.0
1975-1999,Newport News city,266.0,46.0
1975-1999,Norfolk city,230.0,33.0
1975-1999,Northampton County,183.0,46.0
1975-1999,Northumberland County,255.0,101.0
1975-1999,Norton city,9.0,187.0
1975-1999,Nottoway County,268.0,152.0
1975-1999,Orange County,268.0,200.0
1975-1999,Page County,100.0,226.0
1975-1999,Patrick County,115.0,168.0
1975-1999,Petersburg city,312.0,95.0
1975-1999,Pittsylvania County,247.0,127.0
1975-1999,Poquoson city,242.0,46.0
1975-1999,Portsmouth city,241.0,33.0
1975-1999,Powhatan County,313.0,163.0
1975-1999,Prince Edward County,255.0,154.0
1975-1999,Prince George County,307.0,82.0
1975-1999,Prince William County,249.0,185.0
1975-1999,Pulaski County,37.0,211.0
1975-1999,Radford city,59.0,195.0
1975-1999,Rappahannock County,164.0,229.0
1975-1999,Richmond County,290.0,113.0
1975-1999,Richmond city,337.0,125.0
1975-1999,Roanoke County,130.0,194.0
1975-1999,Roanoke city,248.0,177.0
1975-1999,Rockbridge County,115.0,197.0
1975-1999,Rockingham County,100.0,229.0
1975-1999,Russell County,18.0,207.0
1975-1999,Salem city,234.0,177.0
1975-1999,Scott County,51.0,184.0
1975-1999,Shenandoah County,159.0,245.0
1975-1999,Smyth County,12.0,227.0
1975-1999,Southampton County,299.0,92.0
1975-1999,Spotsylvania County,294.0,194.0
1975-1999,Stafford County,266.0,176.0
1975-1999,Staunton city,139.0,234.0
1975-1999,Suffolk city,277.0,56.0
1975-1999,Surry County,298.0,66.0
1975-1999,Sussex County,321.0,97.0
1975-1999,Tazewell County,5.0,258.0
1975-1999,Virginia Beach city,177.0,33.0
1975-1999,Warren County,158.0,219.0
1975-1999,Washington County,37.0,209.0
1975-1999,Waynesboro city,124.0,215.0
1975-1999,Westmoreland County,280.0,111.0
1975-1999,Williamsburg city,282.0,67.0
1975-1999,Winchester city,195.0,217.0
1975-1999,Wise County,8.0,203.0
1975-1999,Wythe County,27.0,223.0
1975-1999,York County,278.0,54.0
2000-2024,Accomack County,157.0,33.0
2000-2024,Albemarle County,234.0,93.0
2000-2024,Alexandria city,255.0,72.0
2000-2024,Alleghany County,32.0,128.0
2000-2024,Amelia County,259.0,76.0
2000-2024,Amherst County,129.0,92.0
2000-2024,Appomattox County,166.0,71.0
2000-2024,Arlington County,237.0,77.0
2000-2024,Augusta County,44.0,134.0
2000-2024,Bath County,15.0,136.0
2000-2024,Bedford County,154.0,85.0
2000-2024,Bland County,5.0,125.0
2000-2024,Botetourt County,99.0,100.0
2000-2024,Bristol city,75.0,95.0
2000-2024,Brunswick County,255.0,55.0
2000-2024,Buchanan County,18.0,116.0
2000-2024,Buckingham County,228.0,83.0
2000-2024,Buena Vista city,171.0,107.0
2000-2024,Campbell County,172.0,73.0
2000-2024,Caroline County,282.0,89.0
2000-2024,Carroll County,10.0,117.0
2000-2024,Charles City County,303.0,40.0
2000-2024,Charlotte County,190.0,65.0
2000-2024,Charlottesville city,242.0,85.0
2000-2024,Chesapeake city,222.0,17.0
2000-2024,Chesterfield County,283.0,65.0
2000-2024,Clarke County,168.0,105.0
2000-2024,Colonial Heights city,296.0,56.0
2000-2024,Covington city,127.0,95.0
2000-2024,Craig County,20.0,118.0
2000-2024,Culpeper County,229.0,108.0
2000-2024,Cumberland County,279.0,92.0
2000-2024,Danville city,247.0,58.0
2000-2024,Dickenson County,13.0,103.0
2000-2024,Dinwiddie County,288.0,71.0
2000-2024,Emporia city,287.0,49.0
2000-2024,Essex County,259.0,70.0
2000-2024,Fairfax County,220.0,86.0
2000-2024,Fairfax city,188.0,91.0
2000-2024,Falls Church city,200.0,75.0
2000-2024,Fauquier County,191.0,106.0
2000-2024,Floyd County,6.0,116.0
2000-2024,Fluvanna County,274.0,90.0
2000-2024,Franklin County,138.0,81.0
2000-2024,Franklin city,295.0,44.0
2000-2024,Frederick County,161.0,113.0
2000-2024,Fredericksburg city,279.0,92.0
2000-2024,Galax city,10.0,106.0
2000-2024,Giles County,14.0,135.0
2000-2024,Gloucester County,255.0,35.0
2000-2024,Goochland County,290.0,75.0
2000-2024,Grayson County,2.0,114.0
2000-2024,Greene County,155.0,111.0
2000-2024,Greensville County,289.0,47.0
2000-2024,Halifax County,220.0,57.0
2000-2024,Hampton city,232.0,14.0
2000-2024,Hanover County,282.0,81.0
2000-2024,Harrisonburg city,146.0,107.0
2000-2024,Henrico County,277.0,61.0
2000-2024,Henry County,195.0,66.0
2000-2024,Highland County,3.0,135.0
2000-2024,Hopewell city,298.0,41.0
2000-2024,Isle of Wight County,269.0,29.0
2000-2024,James City County,257.0,34.0
2000-2024,King George County,255.0,73.0
2000-2024,King William County,291.0,74.0
2000-2024,King and Queen County,262.0,64.0
2000-2024,Lancaster County,230.0,48.0
2000-2024,Lee County,28.0,89.0
2000-2024,Loudoun County,199.0,98.0
2000-2024,Louisa County,242.0,96.0
2000-2024,Lunenburg County,220.0,69.0
2000-2024,Lynchburg city,192.0,83.0
2000-2024,Madison County,132.0,103.0
2000-2024,Manassas Park city,239.0,94.0
2000-2024,Manassas city,247.0,93.0
2000-2024,Martinsville city,200.0,70.0
2000-2024,Mathews County,227.0,34.0
2000-2024,Mecklenburg County,265.0,57.0
2000-2024,Middlesex County,253.0,45.0
2000-2024,Montgomery County,31.0,105.0
2000-2024,Nelson County,119.0,101.0
2000-2024,New Kent County,285.0,57.0
2000-2024,Newport News city,253.0,20.0
2000-2024,Norfolk city,208.0,9.0
2000-2024,Northampton County,189.0,25.0
2000-2024,Northumberland County,233.0,56.0
2000-2024,Norton city,3.0,104.0
2000-2024,Nottoway County,256.0,77.0
2000-2024,Orange County,245.0,92.0
2000-2024,Page County,81.0,118.0
2000-2024,Patrick County,62.0,83.0
2000-2024,Petersburg city,308.0,55.0
2000-2024,Pittsylvania County,189.0,70.0
2000-2024,Poquoson city,234.0,17.0
2000-2024,Portsmouth city,226.0,10.0
2000-2024,Powhatan County,269.0,81.0
2000-2024,Prince Edward County,192.0,68.0
2000-2024,Prince George County,272.0,43.0
2000-2024,Prince William County,245.0,95.0
2000-2024,Pulaski County,34.0,121.0
2000-2024,Radford city,47.0,113.0
2000-2024,Rappahannock County,108.0,115.0
2000-2024,Richmond County,264.0,65.0
2000-2024,Richmond city,297.0,65.0
2000-2024,Roanoke County,89.0,104.0
2000-2024,Roanoke city,193.0,83.0
2000-2024,Rockbridge County,76.0,106.0
2000-2024,Rockingham County,74.0,120.0
2000-2024,Russell County,5.0,109.0
2000-2024,Salem city,193.0,86.0
2000-2024,Scott County,24.0,92.0
2000-2024,Shenandoah County,130.0,114.0
2000-2024,Smyth County,4.0,120.0
2000-2024,Southampton County,285.0,41.0
2000-2024,Spotsylvania County,259.0,101.0
2000-2024,Stafford County,259.0,80.0
2000-2024,Staunton city,114.0,119.0
2000-2024,Suffolk city,253.0,26.0
2000-2024,Surry County,290.0,36.0
2000-2024,Sussex County,294.0,50.0
2000-2024,Tazewell County,4.0,121.0
2000-2024,Virginia Beach city,158.0,8.0
2000-2024,Warren County,104.0,114.0
2000-2024,Washington County,22.0,104.0
2000-2024,Waynesboro city,104.0,106.0
2000-2024,Westmoreland County,279.0,64.0
2000-2024,Williamsburg city,274.0,35.0
2000-2024,Winchester city,166.0,110.0
2000-2024,Wise County,4.0,112.0
2000-2024,Wythe County,15.0,116.0
2000-2024,York County,258.0,25.0
